Fingerprint Sensor,Item_name,Warranty Period(Days),RAM type,Screen Size,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Label of Model,Label number
0,Apple MacBook Pro Ultrabook,1,DDR2,13.3,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,,
0,Apple Macbook Air Ultrabook,1,DDR2,13.3,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,898.94,,
0,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,575,,
0,Apple MacBook Pro Ultrabook,1,DDR2,15.4,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,1.83,2537.45,,
0,Apple MacBook Pro Ultrabook,1,DDR2,13.3,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,,
0,Acer Aspire 3 Notebook,1,DDR2,15.6,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows 10,2.1,400,,
0,Apple MacBook Pro Ultrabook,1,DDR2,15.4,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,,
0,Apple Macbook Air Ultrabook,1,DDR2,13.3,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1158.7,,
0,Asus ZenBook UX430UN Ultrabook,1,DDR2,14,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,1495,,
0,Acer Swift 3 Ultrabook,1,DDR2,14,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,770,,
0,HP 250 G6 Notebook,1,DDR2,15.6,Intel Core i5 20U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,No OS,1.86,393.9,,
0,HP 250 G6 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,1.86,344.99,,
0,Apple MacBook Pro Ultrabook,1,SDRAM,15.4,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,1.83,2439.97,,
0,Dell Inspiron 3567 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,3.2,498.9,Dell Inspiron 3567 Notebook,
0,"Apple MacBook 12"" Ultrabook",1,DDR-SDRAM_(DDRRAM),12,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,0.92,1262.4,,
0,Apple MacBook Pro Ultrabook,1,DDR-SDRAM_(DDRRAM),13.3,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,,
0,Dell Inspiron 3567 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,Windows 10,3.2,745,Dell Inspiron 3567 Notebook,
0,Apple MacBook Pro Ultrabook,1,DDR-SDRAM_(DDRRAM),15.4,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,2858,,
0,Lenovo IdeaPad 320-15IKB Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,499,,
0,Dell XPS 13 Ultrabook,1,DDR-SDRAM_(DDRRAM),13.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,979,Dell XPS 13 Ultrabook,
0,Asus Vivobook E200HA Netbook,1,DDR-SDRAM_(DDRRAM),11.6,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,191.9,,
0,Lenovo Legion Y520-15IKBN Gaming,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD + 1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,999,,
0,HP 255 G6 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,1.86,258,,
0,Dell Inspiron 5379 2 in 1 Convertible,1,DDR-SDRAM_(DDRRAM),13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,819,Dell Inspiron 5379 2 in 1 Convertible,
0,HP 15-BS101nv (i7-8550U/8GB/256GB/FHD/W10) Ultrabook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,659,,
0,Dell Inspiron 3567 Notebook,1,DDR-SDRAM_(DDRRAM),15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,418.64,Dell Inspiron 3567 Notebook,
0,Apple MacBook Air Ultrabook,1,DDR2,13.3,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1099,,
